stock_code,con_date,con_eps_roll
600690,2014-07-09,1.925
600690,2014-07-10,1.9234
600690,2014-07-11,1.9205
600690,2014-07-14,1.9231
600690,2014-07-15,1.9239
600690,2014-07-16,1.9247
600690,2014-07-17,1.9255
600690,2014-07-18,1.9264
600690,2014-07-21,1.9288
600690,2014-07-22,1.7725
600690,2014-07-23,1.7893
600690,2014-07-24,1.7898
600690,2014-07-25,1.7905
600690,2014-07-28,1.7931
600690,2014-07-29,1.8015
600690,2014-07-30,1.8022
600690,2014-07-31,1.803
600690,2014-08-01,1.8052
600690,2014-08-04,1.8071
600690,2014-08-05,1.8097
600690,2014-08-06,1.8086
600690,2014-08-07,1.8093
600690,2014-08-08,1.81
600690,2014-08-11,1.8091
600690,2014-08-12,1.8134
600690,2014-08-13,1.8141
600690,2014-08-14,1.8148
600690,2014-08-15,1.8155
600690,2014-08-18,1.8219
600690,2014-08-19,1.8327
600690,2014-08-20,1.8334
600690,2014-08-21,1.8342
600690,2014-08-22,1.8409
600690,2014-08-25,1.8412
600690,2014-08-26,1.8419
600690,2014-08-27,1.8427
600690,2014-08-28,1.8459
600690,2014-08-29,1.8355
600690,2014-09-01,1.8429
600690,2014-09-02,1.8456
600690,2014-09-03,1.8464
600690,2014-09-04,1.8561
600690,2014-09-05,1.8439
600690,2014-09-09,1.8398
600690,2014-09-10,1.8405
600690,2014-09-11,1.8422
600690,2014-09-12,1.846
600690,2014-09-15,1.858
600690,2014-09-16,1.8587
600690,2014-09-17,1.8595
600690,2014-09-18,1.8602
600690,2014-09-19,1.8618
600690,2014-09-22,1.864
600690,2014-09-23,1.8645
600690,2014-09-24,1.8668
600690,2014-09-25,1.8699
600690,2014-09-26,1.8712
600690,2014-09-29,1.8759
600690,2014-09-30,1.8734
600690,2014-10-08,1.8808
600690,2014-10-09,1.8815
600690,2014-10-10,1.8879
600690,2014-10-13,1.8902
600690,2014-10-14,1.891
600690,2014-10-15,1.8918
600690,2014-10-16,1.8925
600690,2014-10-17,1.8933
600690,2014-10-20,1.8941
600690,2014-10-21,1.8949
600690,2014-10-22,1.8957
600690,2014-10-23,1.9015
600690,2014-10-24,1.9023
600690,2014-10-27,1.9018
600690,2014-10-28,1.9026
600690,2014-10-29,1.9033
600690,2014-10-30,1.9041
600690,2014-10-31,1.9212
600690,2014-11-03,1.9173
600690,2014-11-04,1.9181
600690,2014-11-05,1.9219
600690,2014-11-06,1.9227
600690,2014-11-07,1.9234
600690,2014-11-10,1.9236
600690,2014-11-11,1.9248
600690,2014-11-12,1.9256
600690,2014-11-13,1.9263
600690,2014-11-14,1.9271
600690,2014-11-17,1.9268
600690,2014-11-18,1.9278
600690,2014-11-19,1.9285
600690,2014-11-20,1.9293
600690,2014-11-21,1.93
600690,2014-11-24,1.9349
600690,2014-11-25,1.9357
600690,2014-11-26,1.9364
